Time;Goodput;Data
4.266055;28.129033;15
5.479136;98.921671;30
6.737232;95.382228;45
7.995038;95.404220;60
9.252881;95.401413;75
10.511092;95.373510;90
11.769057;95.392161;105
13.026503;95.431533;120
14.284569;95.384503;135
15.542515;95.393602;150
16.800757;95.371161;165
18.058317;95.422882;180
19.316366;95.385792;195
20.574708;95.363582;210
21.832884;95.376164;225
23.090510;95.417875;240
24.349854;95.287705;255
25.607890;95.386777;270
26.866397;95.351079;285
28.124444;95.385943;300
29.382673;95.372146;315
30.640838;95.376997;330
31.920731;93.757838;345
33.177983;95.446259;360
34.436329;95.363278;375
35.694526;95.374572;390
36.969210;94.140979;405
38.232378;94.999240;420
39.490711;95.364264;435
40.749051;95.363733;450
42.006882;95.402324;465
43.264793;95.396256;480
44.523063;95.369038;495
45.781015;95.393147;510
47.039062;95.385943;525
48.297204;95.378741;540
49.555843;95.341079;555
50.814048;95.373965;570
52.071965;95.395801;585
53.330049;95.383138;600
54.587975;95.395119;615
55.845814;95.401717;630
57.103876;95.384806;645
58.361728;95.400731;660
59.620047;95.365325;675
60.877706;95.415371;690
62.135671;95.392161;705
63.394264;95.344563;720
64.652339;95.383821;735
65.909938;95.419923;750
67.167977;95.386550;765
68.426419;95.356004;780
69.732008;91.912539;795
70.989760;95.408316;810
72.249026;95.293608;825
73.506819;95.405206;840
74.764952;95.379423;855
76.022565;95.418861;870
77.284242;95.111506;885
78.543508;95.293608;900
79.801571;95.384730;915
81.072905;94.389043;930
82.330020;95.456661;945
83.808284;81.176299;960
85.792308;60.483139;975
88.222223;49.384443;990
90.768676;47.124373;1005
93.363231;46.250706;1020
96.017308;45.213458;1035
98.809945;42.970139;1050
102.154372;35.880586;1065
107.657772;21.804703;1080
117.561356;12.116826;1095
125.002300;16.126986;1110
130.665712;21.188640;1125
135.293960;25.927738;1140
139.102648;31.506913;1155
142.914831;31.478027;1170
146.440385;34.037204;1185
149.933413;34.354148;1200
153.364963;34.969620;1215
156.688817;36.102669;1230
159.826890;38.240028;1245
162.671411;42.186365;1260
165.590645;41.106674;1275
168.424220;42.349329;1290
171.063309;45.470236;1305
173.656736;46.270822;1320
176.256850;46.151823;1335
178.856929;46.152444;1350
181.457517;46.143411;1365
184.070818;45.918935;1380
186.695158;45.725782;1395
189.267387;46.652145;1410
191.854560;46.382673;1425
194.442953;46.360812;1440
197.001790;46.896305;1455
199.573473;46.662050;1470
202.146079;46.645308;1485
204.708815;46.824956;1500
207.271699;46.822252;1515
209.836198;46.792765;1530
212.398739;46.828519;1545
214.928507;47.435180;1560
217.471895;47.181162;1575
220.013692;47.210694;1590
222.573432;46.879761;1605
225.114827;47.218162;1620
227.657623;47.192146;1635
230.202647;47.150832;1650
232.735580;47.375908;1665
235.263736;47.465425;1680
237.797787;47.355006;1695
240.346378;47.084840;1710
242.870741;47.536745;1725
245.410915;47.240858;1740
247.931952;47.599460;1755
250.455172;47.558279;1770
252.989809;47.344058;1785
255.510679;47.602613;1800
258.039003;47.462271;1815
260.561058;47.580247;1830
263.089423;47.461502;1845
265.615466;47.505130;1860
268.128409;47.752774;1875
270.653724;47.518824;1890
273.171017;47.670255;1905
275.695132;47.541416;1920
278.217144;47.581058;1935
280.742444;47.519107;1950
283.259849;47.668134;1965
285.784287;47.535333;1980
288.295390;47.787765;1995
290.826920;47.402164;2010
293.331292;47.916204;2025
295.851361;47.617744;2040
298.373400;47.580549;2055
300.887452;47.731710;2070
303.405437;47.657154;2085
305.940856;47.329455;2100
308.453612;47.756328;2115
310.975798;47.577776;2130
313.522927;47.111866;2145
